StateName,Eritrea,El_Salvador,India
Alabama,55,2374,9276
Arizona,1407,8621,40183
Arkansas,0,13514,8282
California,6522,437016,486876
Colorado,1273,9765,21981
Connecticut,106,6674,41480
Delaware,68,1273,11434
District of Columbia,555,12238,2984
Florida,756,45730,85926
Georgia,2401,27032,89194
Idaho,51,1040,1956
Illinois,776,9996,160356
Indiana,474,8005,28740
Iowa,432,3569,9913
Kansas,366,4091,14203
Kentucky,34,2138,11347
Louisiana,104,5861,6688
Maine,96,513,1318
Maryland,2604,108128,61911
Massachusetts,738,39776,69848
Michigan,510,2903,71810
Minnesota,1703,7803,30163
Mississippi,0,657,4436
Missouri,570,3759,19703
Montana,0,21,170
Nebraska,182,4725,6496
Nevada,945,25438,9486
New Hampshire,2,523,7905
New Jersey,319,47782,248849
New Mexico,0,1980,3093
New York,1274,109733,160769
North Carolina,1313,30618,66430
North Dakota,84,86,1363
Ohio,1600,6231,60167
Oklahoma,230,3604,9834
Oregon,625,5430,17628
Pennsylvania,661,6849,87256
Rhode Island,67,2524,5857
South Carolina,96,3352,13113
South Dakota,618,915,1008
Tennessee,384,8986,21276
Texas,5018,206561,253898
Utah,0,7295,7501
Vermont,0,108,857
Virginia,2332,107946,87110
Washington,3742,12240,75552
West Virginia,0,643,2743
Wisconsin,340,1117,22672
Wyoming,0,503,289
