StateName,,StateTotal,Eritrea,El_Salvador,India
Alabama,,4887871,55,2374,9276
Arizona,,7171646,1407,8621,40183
Arkansas,,3013825,0,13514,8282
California,,39557045,6522,437016,486876
Colorado,,5695564,1273,9765,21981
Connecticut,,3572665,106,6674,41480
Delaware,,967171,68,1273,11434
District of Columbia,,702455,555,12238,2984
Florida,,21299325,756,45730,85926
Georgia,,10519475,2401,27032,89194
Idaho,,1754208,51,1040,1956
Illinois,,12741080,776,9996,160356
Indiana,,6691878,474,8005,28740
Iowa,,3156145,432,3569,9913
Kansas,,2911510,366,4091,14203
Kentucky,,4468402,34,2138,11347
Louisiana,,4659978,104,5861,6688
Maine,,1338404,96,513,1318
Maryland,,6042718,2604,108128,61911
Massachusetts,,6902149,738,39776,69848
Michigan,,9995915,510,2903,71810
Minnesota,,5611179,1703,7803,30163
Mississippi,,2986530,0,657,4436
Missouri,,6126452,570,3759,19703
Montana,,1062305,0,21,170
Nebraska,,1929268,182,4725,6496
Nevada,,3034392,945,25438,9486
New Hampshire,,1356458,2,523,7905
New Jersey,,8908520,319,47782,248849
New Mexico,,2095428,0,1980,3093
New York,,19542209,1274,109733,160769
North Carolina,,10383620,1313,30618,66430
North Dakota,,760077,84,86,1363
Ohio,,11689442,1600,6231,60167
Oklahoma,,3943079,230,3604,9834
Oregon,,4190713,625,5430,17628
Pennsylvania,,12807060,661,6849,87256
Rhode Island,,1057315,67,2524,5857
South Carolina,,5084127,96,3352,13113
South Dakota,,882235,618,915,1008
Tennessee,,6770010,384,8986,21276
Texas,,28701845,5018,206561,253898
Utah,,3161105,0,7295,7501
Vermont,,626299,0,108,857
Virginia,,8517685,2332,107946,87110
Washington,,7535591,3742,12240,75552
West Virginia,,1805832,0,643,2743
Wisconsin,,5813568,340,1117,22672
Wyoming,,577737,0,503,289
